committee,id,place_name,jew,pal,coop,cluster,place_id,box,bloc,elligible,voters,illegal,legal,AMT,B,G,D,WM,T,KN,L,MHL,MRC,AM,PH,SS,others,prop_voters,p_AMT,p_B,p_G,p_D,p_WM,p_T,p_KN,p_L,p_MHL,p_MRC,p_AM,p_PH,p_SS,p_others
13,6762,QRIT EQRON,1,0,0,,469,1.4,2,670,497,2,495,7,3,4,0,0,115,20,8,227,3,0,42,58,8,0.73880597,0.014141414,0.006060606,0.008080808,0,0,0.232323232,0.04040404,0.016161616,0.458585859,0.006060606,0,0.084848485,0.117171717,0.016161616
13,6763,QRIT EQRON,1,0,0,,469,4,4,620,410,6,404,3,2,5,0,0,72,24,6,200,1,5,20,58,8,0.651612903,0.007425743,0.004950495,0.012376238,0,0,0.178217822,0.059405941,0.014851485,0.495049505,0.002475248,0.012376238,0.04950495,0.143564356,0.01980198
13,6764,QRIT EQRON,1,0,0,,469,5.1,1,361,291,5,286,3,3,3,0,0,66,22,4,137,0,2,20,24,2,0.792243767,0.01048951,0.01048951,0.01048951,0,0,0.230769231,0.076923077,0.013986014,0.479020979,0,0.006993007,0.06993007,0.083916084,0.006993007
13,6765,QRIT EQRON,1,0,0,,469,5.2,1,360,271,1,270,5,2,1,0,0,59,15,4,129,0,0,23,30,2,0.75,0.018518519,0.007407407,0.003703704,0,0,0.218518519,0.055555556,0.014814815,0.477777778,0,0,0.085185185,0.111111111,0.007407407
13,6766,QRIT EQRON,1,0,0,,469,8,3,579,420,4,416,2,2,9,0,1,87,28,12,190,1,0,28,46,10,0.718480138,0.004807692,0.004807692,0.021634615,0,0.002403846,0.209134615,0.067307692,0.028846154,0.456730769,0.002403846,0,0.067307692,0.110576923,0.024038462
13,6767,QRIT EQRON,1,0,0,,469,9,3,540,411,4,407,3,4,0,0,0,76,49,32,149,1,0,63,21,9,0.753703704,0.007371007,0.00982801,0,0,0,0.186732187,0.12039312,0.078624079,0.366093366,0.002457002,0,0.154791155,0.051597052,0.022113022
13,6768,QRIT EQRON,1,0,0,,469,10.1,5,724,501,6,495,8,3,7,0,2,71,20,8,256,2,0,31,80,7,0.683701657,0.016161616,0.006060606,0.014141414,0,0.004040404,0.143434343,0.04040404,0.016161616,0.517171717,0.004040404,0,0.062626263,0.161616162,0.014141414
13,6769,QRIT EQRON,1,0,0,,469,10.2,5,723,501,5,496,7,2,6,0,3,94,33,3,232,7,0,34,69,6,0.686030429,0.014112903,0.004032258,0.012096774,0,0.006048387,0.189516129,0.066532258,0.006048387,0.467741935,0.014112903,0,0.068548387,0.139112903,0.012096774
13,6770,QRIT EQRON,1,0,0,,469,11,3,534,399,2,397,5,2,1,0,0,71,42,9,179,3,1,53,25,6,0.743445693,0.012594458,0.005037783,0.002518892,0,0,0.17884131,0.105793451,0.022670025,0.450881612,0.007556675,0.002518892,0.133501259,0.062972292,0.01511335
13,6771,QRIT EQRON,1,0,0,,469,12,3,503,364,0,364,4,3,1,0,0,64,41,13,157,3,0,47,22,9,0.723658052,0.010989011,0.008241758,0.002747253,0,0,0.175824176,0.112637363,0.035714286,0.431318681,0.008241758,0,0.129120879,0.06043956,0.024725275
13,6772,QRIT EQRON,1,0,0,,469,13,3,547,419,2,417,6,4,0,0,1,75,27,17,203,7,0,45,25,7,0.762340037,0.014388489,0.009592326,0,0,0.002398082,0.179856115,0.064748201,0.040767386,0.486810552,0.016786571,0,0.107913669,0.059952038,0.016786571
17,9391,QRIT GT,1,0,0,,2630,1.1,10,381,185,1,184,1,1,10,0,0,39,23,1,77,0,0,8,20,4,0.482939633,0.005434783,0.005434783,0.054347826,0,0,0.211956522,0.125,0.005434783,0.418478261,0,0,0.043478261,0.108695652,0.02173913
17,9392,QRIT GT,1,0,0,,2630,2.1,22,543,342,8,334,3,5,7,0,2,51,14,19,141,2,0,10,78,2,0.615101289,0.008982036,0.01497006,0.020958084,0,0.005988024,0.152694611,0.041916168,0.056886228,0.422155689,0.005988024,0,0.02994012,0.233532934,0.005988024
17,9393,QRIT GT,1,0,0,,2630,2.2,22,543,318,4,314,2,2,6,0,0,38,17,35,132,1,0,22,54,5,0.578268877,0.006369427,0.006369427,0.01910828,0,0,0.121019108,0.054140127,0.111464968,0.420382166,0.003184713,0,0.070063694,0.171974522,0.015923567
17,9394,QRIT GT,1,0,0,,2630,2.3,22,543,316,1,315,2,5,8,1,0,42,8,52,128,0,0,17,43,9,0.580110497,0.006349206,0.015873016,0.025396825,0.003174603,0,0.133333333,0.025396825,0.165079365,0.406349206,0,0,0.053968254,0.136507937,0.028571429
17,9395,QRIT GT,1,0,0,,2630,3,6,414,252,4,248,2,1,6,0,0,35,5,11,115,0,0,22,47,4,0.599033816,0.008064516,0.004032258,0.024193548,0,0,0.141129032,0.02016129,0.044354839,0.463709677,0,0,0.088709677,0.189516129,0.016129032
17,9396,QRIT GT,1,0,0,,2630,5,12,559,344,8,336,4,2,14,0,0,26,8,75,138,0,0,5,56,8,0.601073345,0.011904762,0.005952381,0.041666667,0,0,0.077380952,0.023809524,0.223214286,0.410714286,0,0,0.014880952,0.166666667,0.023809524
17,9397,QRIT GT,1,0,0,,2630,6,7,536,368,2,366,7,1,6,0,0,68,30,24,155,1,0,36,33,5,0.682835821,0.019125683,0.00273224,0.016393443,0,0,0.18579235,0.081967213,0.06557377,0.423497268,0.00273224,0,0.098360656,0.090163934,0.013661202
17,9398,QRIT GT,1,0,0,,2630,8,7,585,386,2,384,4,8,11,0,0,52,20,8,181,1,0,14,80,5,0.656410256,0.010416667,0.020833333,0.028645833,0,0,0.135416667,0.052083333,0.020833333,0.471354167,0.002604167,0,0.036458333,0.208333333,0.013020833
17,9399,QRIT GT,1,0,0,,2630,10,7,528,382,1,381,2,9,9,0,0,64,14,6,181,0,1,9,84,2,0.721590909,0.005249344,0.023622047,0.023622047,0,0,0.167979003,0.036745407,0.015748031,0.475065617,0,0.002624672,0.023622047,0.220472441,0.005249344
17,9400,QRIT GT,1,0,0,,2630,11,15,554,388,2,386,10,1,1,0,0,74,34,10,156,5,0,45,47,3,0.696750903,0.025906736,0.002590674,0.002590674,0,0,0.191709845,0.088082902,0.025906736,0.404145078,0.012953368,0,0.116580311,0.121761658,0.007772021
17,9401,QRIT GT,1,0,0,,2630,12.1,2,647,489,5,484,3,4,9,0,0,71,29,14,229,2,0,32,89,2,0.748068006,0.006198347,0.008264463,0.018595041,0,0,0.146694215,0.059917355,0.02892562,0.473140496,0.004132231,0,0.066115702,0.183884298,0.004132231
